coefficients_species,gen_spp,species_name,species,clean_species
alcyonium_sub,Alcyonium digitatum,Alcyonium siderium,Alcyonium siderium,Alcyonium siderium
anomia_spp,Anomia simplex,Anomia simplex,Anomia/Heteranomia spp.,Anomia spp.
aplidium_glabrum,Aplidium glabrum,Aplidium glabrum,Aplidium glabrum,Aplidium glabrum
,,,Aplysilla sp.,Aplysilla sp.
balanus_balanus,Balanus balanus,Balanus balanus,Balanus/Amphibalanus spp.,Balanus and Amphibalanus spp.
bare_space_rock,,,Bare space,Bare space
boltenia_echinata,Boltenia echinata,Boltenia echinata,,
boltenia_ovifera,Boltenia ovifera,Boltenia ovifera,Boltenia ovifera,Boltenia ovifera
botrylloides_sp,Botrylloides violaceus,Botrylloides violaceus,Botrylloides violaceus,Botrylloides violaceus
botryllus_schlosseri,Botryllus schlosseri,Botryllus schlosseri,,
brown_algae_sub,,,,
clathromorphum_sp,Clathromorphum circumscriptum,Clathromorphum circumscriptum,,
cliona_spp,Cliona celata,Cliona celata,Cliona spp.,Cliona spp.
dendrodoa_carnea,Dendrodoa carnea,Dendrodoa carnea,Dendrodoa carnea,Dendrodoa carnea
didemnum_albidum,Didemnum albidum,Didemnum albidum,Didemnum albidum,Didemnum albidum
didemnum_vexillum,Didemnum vexillum,Didemnum vexillum,Didemnum vexillum,Didemnum vexillum
diplosoma_listerianum,Diplosoma listerianum,Diplosoma listerianum,Diplosoma listerianum,Diplosoma listerianum
edwardsiella_lineata,Edwardsiella lineata,Edwardsiella lineata,Edwardsiella lineata,Edwardsiella lineata
encrusting_bryozoan,,,,
erect_bryozoan_sub,,,,
green_algae_sub,,,,
halichondria_panicea,Halichondria panicea,Halichondria panicea,Halichondria panicea,Halichondria panicea
haliclona_oculata,Haliclona oculata,Haliclona oculata,Haliclona oculata,Haliclona oculata
halisarca_nahantensis,Halisarca nahantensis,Halisarca nahantensis,Halisarca spp.,Halisarca spp.
halocynthia_pyriformis,Halocynthia pyriformis,Halocynthia pyriformis,,
hyd_bry_complex,,,Hydrozoa/Bryozoa complex,Hydrozoa-Bryozoa complex
hydroid_sub,,,,
hymedesmia_sp,Hymedesmia (Hymedesmia) paupertas,Hymedesmia paupertas,Hymedesmia paupertas,Hymedesmia paupertas
isodictya_deichmannae,Isodictya deichmannae,Isodictya deichmannae,Isodictya spp.,Isodictya spp.
leucosolenia_spp,Leucosolenia botryoides,Leucosolenia botryoides,Leucosolenia botryoides,Leucosolenia botryoides
lithothamnion_spp,Boreolithothamnion glaciale,Boreolithothamnion glaciale,Boreolithothamnion glaciale,Boreolithothamnion glaciale
metridium_sub,Metridium senile,Metridium senile,Metridium senile,Metridium senile
modiolus_modiolus,Modiolus modiolus,Modiolus modiolus,Modiolus modiolus,Modiolus modiolus
molgula_citrina,Molgula citrina,Molgula citrina,Molgula spp.,Molgula spp.
mytilus_edulis,Mytilus edulis,Mytilus edulis,Mytilus edulis,Mytilus edulis
orange_sponge_crust,,,,
peysonnelia,Waernia merabilis,Peysonnelia sp.,Peysonnelia sp.,Peysonnelia sp.
phymatolithon_sp,Phymatolithon rugulosum,Phymatolithon rugulosum,Phymatolithon rugulosum,Phymatolithon rugulosum
red_algae_sub,,,,
scypha_sp,,,,
spirorbis_spp,Spirorbis spirorbis,Spirorbis spirorbis,Spirorbis spp.,Spirorbis spp.
styela_sp,Styela clava,Styela clava,Styela clava,Styela clava
tube_complex,,,,
tubularia_sub,Ectopleura crocea,Ectopleura crocea,Ectopleura/Tubularia spp.,Ectopleura spp.
,,,Unidentified brown branched,Unidentified brown branched
,,,Unidentified encrusting bryozoan,Unidentified encrusting bryozoan
,,,Unidentified green blade,Unidentified green blade
,,,Unidentified red blade,Unidentified red blade
,,,Unidentified red fleshy crust,Unidentified red fleshy crust
,,,Crustose Coralline Algae pink,Crustose Coralline Algae pink
,Halichondria sp.,Halichondria sp.,Halichondria sp.,Halichondria sp.
,Myxicola infundibulum,Myxicola infundibulum,Myxicola infundibulum,Myxicola infundibulum
,Terebratulina septentrionalis,Terebratulina septentrionalis,Terebratulina septentrionalis,Terebratulina septentrionalis
,Urticina felina,Urticina felina,Urticina felina,Urticina felina
,Bugula simplex,Bugula simplex,Bugula simplex,Bugula simplex
,,,Mussel,Mussel